             x               y  bin
    -15.199917      -5.6000453  160
    -15.200011      -4.7999738  160
    -15.199941      -3.9999448  160
    -15.200059      -3.1999649  160
    -15.199998      -2.4000404  166
    -15.199982      -1.5999711  166
    -15.199977      -0.8000183  166
    -15.199922   -8.694463e-05  163
    -15.200047      0.80001541  163
    -15.199906         1.60006  174
    -15.199927       2.3999874  174
    -15.200087       3.2000171  174
    -15.199927       4.0000616  172
    -15.199915       4.8000537  186
    -15.200028       5.6000613  186
    -15.200065       6.4000069  186
    -15.199903       7.2000847  186
    -15.199937       7.9999762  267
    -15.199998       8.8000824  267
    -15.199993       9.5999457  267
    -15.200013       10.399987  267
    -15.199992       11.200051  333
    -15.199976       11.999994  333
    -15.200085       12.799922  333
    -15.199942       13.600044  333
    -15.200048       14.399915  328
    -15.200078       15.200048  354
     -15.19996       15.999928  354
    -15.199931       16.799938  354
    -15.200012       17.599963  353
    -15.200025        18.39999  353
    -15.200026       19.199959  353
    -15.199979       19.999988  353
    -15.199988       20.800029  353
    -14.400038      -20.799959  158
    -14.400029      -19.999915  158
    -14.399937      -19.199928  158
    -14.399973       -18.40004  158
    -14.399946      -17.599993  158
    -14.400085      -16.799977  158
    -14.399902      -16.000069  158
    -14.399929      -15.200057  158
    -14.399982      -14.400053  152
    -14.399959       -13.59994  152
    -14.400021       -12.80006  152
    -14.399921      -12.000055  152
    -14.399906      -11.199953  153
    -14.399953      -10.399934  153
    -14.399909      -9.6000488  153
    -14.400041       -8.800093  153
    -14.399967      -7.9999745  153
    -14.399918      -7.2000414  153
    -14.400076      -6.4000138  151
    -14.399963      -5.6000376  160
    -14.400023      -4.7999399  160
    -14.399997      -4.0000679  155
    -14.400019      -3.2000171  155
    -14.399992      -2.3999129  155
    -14.399921      -1.5999929  155
    -14.399995     -0.80003862  163
    -14.400001   1.9849229e-05  163
    -14.400052      0.79991988  163
    -14.399989        1.599917  163
    -14.399915       2.3999089  172
    -14.399915       3.1999377  172
    -14.400068       3.9999488  172
     -14.40007       4.7999299  172
    -14.400008       5.5999966  186
    -14.399947       6.3999977  186
    -14.400005       7.2000972  193
    -14.400033        8.000005  193
    -14.400079       8.8000225  267
    -14.399957       9.6000865  267
    -14.399936       10.399941  268
    -14.400037       11.200037  268
    -14.399984       11.999968  268
    -14.400064       12.799981  328
    -14.399955       13.599943  328
    -14.400041        14.40001  328
    -14.400075       15.199934  328
    -14.399943       15.999991  328
    -14.399914       16.800088  353
    -14.400048       17.599906  353
    -14.400097       18.399902  353
    -14.400066        19.19992  353
    -14.400091       20.000048  353
    -13.599916      -20.800018  158
     -13.59992      -19.999931  158
    -13.599918      -19.199995  158
    -13.599925      -18.399938  158
    -13.599939      -17.599994  158
    -13.600061      -16.799958  158
    -13.600033      -16.000058  158
    -13.600079      -15.200055  152
    -13.599959      -14.400013  152
    -13.600081      -13.600053  152
    -13.599909      -12.799945  152
    -13.600021      -11.999958  152
    -13.600089       -11.20004  153
    -13.600003       -10.40007  153
    -13.600009      -9.6000669  153
    -13.600088      -8.8000815  153
     -13.60002      -7.9999277  153
    -13.599989      -7.1999114  151
    -13.600056      -6.4000099  151
    -13.599902      -5.5999701  151
     -13.59991      -4.8000315  151
     -13.60004      -3.9999478  155
    -13.600044      -3.2000793  155
    -13.599918      -2.4000395  155
     -13.59999      -1.5999526  155
    -13.599965      -0.7999418  163
    -13.599907   7.7613593e-05  163
    -13.599978      0.79994099  163
    -13.599929       1.5999292  163
    -13.600069       2.4000659  172
    -13.599988       3.1999468  172
    -13.599976       3.9999121  172
    -13.599952       4.8000123  172
    -13.600099       5.6000118  193
    -13.600047        6.399907  193
    -13.600026       7.2000655  193
    -13.599932       8.0000399  193
    -13.600037       8.8000601  193
    -13.599949       9.6000709  268
    -13.600046         10.4001  268
     -13.60005       11.199967  268
    -13.600046       12.000095  268
    -13.599918        12.79991  328
