#              x               y      signal       noise
      -18.400052      -5.6000206      106.87       10.49
      -18.399969      -4.8000313       99.77       10.42
      -18.399997      -3.9999153      127.50       11.30
      -18.400022      -3.1999723      127.54       11.18
      -18.400083      -2.4000547      124.34       11.44
      -18.399978      -1.6000780      123.72       10.99
      -18.400032     -0.79999212      116.06       11.14
      -18.399912 -6.9929280e-005      142.14       11.24
      -18.399994      0.80000648      122.81       11.04
      -18.400013       1.6000782      134.49       12.02
      -18.400045       2.3999015      128.67       10.53
      -18.400097       3.2000933      128.61       11.24
      -18.400100       3.9999397      126.94       11.43
      -18.399912       4.8000118      141.44       13.00
      -18.400045       5.6000875      155.88       12.75
      -18.400033       6.3999834      158.26       12.38
      -18.399962       7.2000946      171.73       12.65
      -18.399961       7.9999633      185.90       13.87
      -18.399999       8.8000699      146.43       10.92
      -18.400030       9.6000417      140.32       12.56
      -18.399903       10.399977      151.22       12.58
      -18.400051       11.200099      139.03       11.66
      -18.400017       12.000017      127.85       10.76
      -18.400013       12.800094      105.04       10.12
      -18.399918       13.599988       95.01       10.31
      -18.400044       14.400001       94.23       10.03
      -18.400078       15.199956       72.73        8.42
      -18.399933       15.999907       55.11        7.62
      -18.399970       16.800027       51.81        6.96
      -18.400064       17.600010       46.89        6.50
      -18.400081       18.400062       44.31        6.54
      -18.399913       19.199981       43.47        6.68
      -18.400044       20.000041       33.38        4.92
      -18.400018       20.800032       32.77        7.02
      -17.599927      -19.999943       33.17        5.55
      -17.599921      -19.199905       34.54        5.58
      -17.600000      -18.400085       39.33        5.39
      -17.599930      -17.600099       37.72        5.85
      -17.599922      -16.800011       38.67        6.48
      -17.600087      -16.000081       41.95        6.35
      -17.599970      -15.200052       49.28        7.32
      -17.600040      -14.399932       47.11        6.64
      -17.599988      -13.600078       53.30        7.85
      -17.600074      -12.800086       53.92        5.97
      -17.599932      -11.999946       59.65        7.20
      -17.600032      -11.199977       62.61        7.36
      -17.600067      -10.400067       72.22        8.27
      -17.600033      -9.6000102       80.23        9.77
      -17.599955      -8.8000051       92.40        9.07
      -17.600068      -8.0000437       93.58        9.76
      -17.599979      -7.2000294       94.80       10.14
      -17.599980      -6.4000942      117.06       11.24
      -17.599911      -5.6000463      118.08       10.91
      -17.599958      -4.8000642      117.54       11.45
      -17.599927      -3.9999431      123.56       11.54
      -17.600077      -3.1999769      125.94       11.25
      -17.600027      -2.4000298      131.33       12.19
      -17.600024      -1.6000579      125.61       11.11
      -17.600086     -0.79997103      122.17       10.71
      -17.600050  3.9756858e-005      131.43       10.63
      -17.600068      0.79990043      134.15       11.53
